region,mpi,pop_in_mpi,deprivation_intensity,vulnerable_to_poverty,in_severe_poverty,pop_share,pop_size,num_mpi_poor,nutrition,child_mortality,years_of_schooling,school_attendance,cooking_fuel,sanitation,drinking_water,electricity,housing,assets
Katsina,0.398,71.92,55.33,17.73,43.59,6.04,"12,137","8,729",58.35,26.5,21.15,37.89,71.09,54.08,38.99,48.6,51.4,20.49
Kebbi,0.585,87.36,67,7.98,71.59,2.7,"5,418","4,733",63.36,38.08,54.39,67.21,87.36,79.71,52.18,62.22,66.26,36.68
Kogi,0.148,32.52,45.53,22.61,11.7,1.31,"2,641",859,22.16,12.17,8.09,3.88,31.95,30.43,21.9,22.38,10.11,10.84
Kwara,0.21,38.12,55.01,16.65,21.81,1.8,"3,614","1,378",23.63,5.37,23.02,18.26,37.44,36.26,29.05,20.78,24.79,18.27
Lagos,0.016,4.14,38.94,14.91,0.41,5.92,"11,896",493,3.49,2.43,0.17,0.69,1.48,3.49,2.32,0,0.68,0.73
Nasarawa,0.161,35.02,45.89,29.78,14.18,1.66,"3,342","1,170",29.09,13.35,5.15,12.06,34.47,24.98,12.74,23.12,5.01,9.96
Niger,0.378,66.6,56.83,12.32,44.37,3.42,"6,864","4,571",35.23,15.4,37.6,54.31,66.05,59.37,33.32,44.82,36.19,13.82
Ogun,0.049,11.33,43.24,25.86,3.19,2.35,"4,720",535,9.35,0.21,3.25,3.86,10.71,11.09,6.91,3.89,2.09,3.45
Ondo,0.087,22.06,39.36,27.95,3.05,1.67,"3,348",739,14.49,3.44,2.95,1.27,20.66,21.64,14.13,18.77,9.01,5.61
Osun,0.085,20.33,41.68,26.1,4.7,2.35,"4,728",961,13.79,3.57,2.44,1.86,19.62,19.66,12.24,12.91,12.16,10.98
Oyo,0.085,17.67,47.95,30.05,7.3,3.82,"7,681","1,357",15.1,3.04,6.28,4.12,15.43,17.35,8.39,13.89,5.97,5.89
Plateau,0.255,52.64,48.52,22.64,20.96,2.04,"4,097","2,157",37.25,12.21,8.03,15.95,52.12,50.82,41.83,45.59,32.97,16.07
Rivers,0.056,14.87,37.89,23.88,0.38,3.54,"7,107","1,057",10.64,2.74,0.89,2.18,12.17,13.75,5.98,8.73,6.4,5.04
Sokoto,0.555,87.71,63.25,8.78,70.16,2.22,"4,457","3,909",54.97,21.12,62.35,63.32,87.71,56.09,65.01,65.92,81.59,37
Taraba,0.369,70.07,52.62,19.5,38.35,1.95,"3,919","2,746",45.76,16.03,20.65,32.44,69.95,47.03,48.6,64.08,60.6,28.8
Yobe,0.54,82.43,65.51,11.78,67.02,3.47,"6,969","5,745",63.16,17.55,56.87,59.74,82.21,68.49,39.01,67.21,82.26,40.84
Zamfara,0.476,76.14,62.57,14.58,57.66,3.17,"6,374","4,853",53.15,12.94,50.03,53.62,75.69,66.56,42.57,60.14,69.14,34.15
